,LRU,SRRIP,GHRP,Hawkeye,Thermometer,OPT
client_001,1.5351,1.53456,1.53498,1.53505,1.53519,1.53551
client_002,1.78721,1.79247,1.78803,1.79005,1.80574,1.80849
client_003,1.10037,1.1005,1.09863,1.1005,1.10305,1.10618
client_004,1.43928,1.44226,1.44055,1.43973,1.44966,1.47563
client_005,1.34218,1.3443,1.34063,1.34218,1.35252,1.35916
client_006,1.45901,1.45862,1.45738,1.45918,1.46171,1.46145
client_007,1.53477,1.53484,1.53599,1.53391,1.53406,1.53627
client_008,1.50773,1.50862,1.50772,1.50856,1.51,1.51418
server_001,1.47085,1.47928,1.47533,1.47512,1.49163,1.49459
server_002,1.38259,1.38258,1.3826,1.38259,1.3826,1.38261
server_003,1.3265,1.33227,1.33315,1.32594,1.35519,1.3739
server_004,1.01341,1.02337,1.0149,1.01606,1.04517,1.0527
server_009,1.0673,1.07479,1.0679,1.06983,1.09479,1.10012
server_010,1.2791,1.30164,1.28581,1.28683,1.32854,1.29772
server_011,1.54231,1.5787,1.56566,1.55324,1.6062,1.63061
server_012,1.73385,1.77379,1.75291,1.74655,1.82673,1.8389
server_013,1.67374,1.69921,1.67913,1.68355,1.75596,1.7711
server_014,1.41605,1.41718,1.41717,1.41611,1.41984,1.42124
server_015,1.48474,1.48474,1.48474,1.48474,1.48474,1.48474
server_016,1.79781,1.81455,1.80443,1.80549,1.83222,1.83761
server_017,0.414101,0.414035,0.41412,0.414103,0.414193,0.414184
server_018,0.423348,0.423426,0.423385,0.423372,0.423429,0.423414
server_019,0.407108,0.407075,0.407116,0.407103,0.407113,0.407114
server_020,0.426667,0.426635,0.426589,0.426643,0.426657,0.426666
server_021,0.430328,0.430365,0.430361,0.430368,0.430385,0.430373
server_022,0.431843,0.431855,0.431851,0.431872,0.431859,0.431847
server_023,1.61034,1.62775,1.61626,1.61806,1.64246,1.64878
server_024,1.58328,1.59869,1.58678,1.59053,1.61373,1.61909
server_025,1.55906,1.58326,1.5687,1.56916,1.60595,1.60919
server_026,1.54225,1.57052,1.55098,1.55124,1.5973,1.59915
server_027,1.53776,1.5642,1.54913,1.55059,1.589,1.59251
server_028,1.51447,1.52522,1.51817,1.51563,1.53352,1.53222
server_029,1.4942,1.50483,1.49644,1.49395,1.51257,1.51214
server_030,1.56883,1.58248,1.57136,1.57014,1.59049,1.5899
server_031,1.47349,1.48346,1.47492,1.47423,1.49162,1.49147
server_032,1.5964,1.60282,1.59832,1.5961,1.61113,1.61079
server_033,1.72632,1.7262,1.72627,1.7264,1.72626,1.72629
server_034,1.83108,1.83099,1.83109,1.83107,1.83101,1.83098
server_035,1.33264,1.33371,1.33276,1.33276,1.33391,1.33348
server_036,1.74381,1.74425,1.74406,1.74389,1.74466,1.74484
server_037,1.73995,1.73996,1.73995,1.73996,1.73998,1.73999
server_038,1.74378,1.74378,1.74377,1.74379,1.7438,1.7438
server_039,1.66686,1.66686,1.66686,1.66686,1.66686,1.66686
spec_gcc_001,1.48371,1.48359,1.48388,1.48271,1.48493,1.49602
spec_gcc_002,0.228451,0.228103,0.22834,0.228525,0.228132,0.228053
spec_gcc_003,0.260239,0.259168,0.260351,0.260432,0.260547,0.261013
spec_gobmk_001,1.42459,1.42467,1.42481,1.42469,1.42499,1.42528
spec_gobmk_002,1.69146,1.691,1.69103,1.69113,1.69128,1.69149
spec_perlbench_001,1.65544,1.65566,1.65549,1.65559,1.65664,1.65787
spec_x264_001,3.16922,3.16922,3.16921,3.16921,3.16927,3.16925
