,SRRIP,Thermometer
cassandra;4,13.138841567291296,41.15204429301531
cassandra;8,10.253082414017015,37.94613887086302
cassandra;16,7.43458058204929,33.99364147713411
cassandra;32,9.497746297488144,33.708950418544354
cassandra;64,8.747731397458386,28.20326678765801
cassandra;128,6.408753419304802,23.173114497850015
drupal;4,13.85664834046009,63.479942985135324
drupal;8,18.015002885169924,65.17022504327782
drupal;16,22.56831866604885,65.72487262621601
drupal;32,30.129046369204065,64.67629046369228
drupal;64,33.41883849784507,61.143033039195686
drupal;128,36.19768909602867,52.840081561316474
tomcat;4,19.974805564684,46.166064191039474
tomcat;8,25.890467978831037,46.78004400309227
tomcat;16,25.766046281225744,48.58821031774116
tomcat;32,22.766052986079945,50.22002694207458
tomcat;64,22.18069905473763,55.89140470433065
tomcat;128,21.998178743332588,54.02627813191082
